Name,Username,Twitter Handle,Slogan Hashtag
Bernie Sanders,BernieSanders, @BernieSanders,#feelthebern
Donald Trump,realDonaldTrump, @realDonaldTrump,#maga
Joe Biden,JoeBiden, @JoeBiden,#TeamJoe
Elizabeth Warren,ewarren, @ewarren,#teamwarren
Pete Buttigieg,Chas10Buttigieg, @Chas10Buttigieg,#petebuttigieg 
Kamala Harris,KamalaHarris, @KamalaHarris,#kamala
Andrew Yang,AndrewYang, @AndrewYang,#YangGang
Ted Cruz,tedcruz, @tedcruz,#tedcruz
Ben Carson,SecretaryCarson, @SecretaryCarson,#bencarson
Mike Pence,Mike_Pence, @Mike_Pence,#mikepence
